date,avgBikeDuration,avgBikeDistance,totalBikeTrips
2021-10-21,0 days 00:16:38.720391439,1.8803304811034227,113734
2021-10-22,0 days 00:17:01.250773050,1.8456950056367536,111571
2021-10-23,0 days 00:18:59.836147927,1.8404895945647441,91369
2021-10-24,0 days 00:19:21.212737685,1.8459330864195327,85039
2021-10-25,0 days 00:17:39.431646582,1.8495177129497387,92446
2021-10-26,0 days 00:14:38.851713006,1.679456451176041,48015
2021-10-27,0 days 00:15:58.538168717,1.8063872774069911,97986
2021-10-28,0 days 00:15:45.922315247,1.82862852752649,100689
2021-10-29,0 days 00:16:29.486529011,1.7079696140919947,82622
2021-10-30,0 days 00:18:48.411254262,1.8065420117118536,79170
2021-10-31,0 days 00:22:14.341518325,1.863828296753723,85726
2021-11-01,0 days 00:15:45.616886955,1.801911384591035,89655
2021-11-02,0 days 00:15:25.917245293,1.7382791115056455,82811
2021-11-03,0 days 00:15:02.679517299,1.7844269670760815,87259
2021-11-04,0 days 00:15:07.903076097,1.7740309154434042,85758
2021-11-05,0 days 00:17:06.410725669,1.776662787840615,86279
2021-11-06,0 days 00:19:31.380018663,1.8862436367246922,84659
2021-11-07,0 days 00:19:35.620382968,1.8555277118854776,79380
2021-11-08,0 days 00:17:19.263824477,1.8401212201877113,84958
2021-11-09,0 days 00:17:24.462734717,1.8799292971135453,96712
2021-11-10,0 days 00:16:14.416070064,1.8828146937833599,98195
2021-11-11,0 days 00:16:22.918224374,1.8542290162784256,92925
2021-11-12,0 days 00:16:22.694162200,1.7717666349220302,69975
2021-11-13,0 days 00:21:25.348079748,1.8178231935948637,71475
2021-11-14,0 days 00:17:44.911224344,1.8021825432094905,63193
2021-11-15,0 days 00:14:20.215322061,1.7194858297497888,68372
2021-11-16,0 days 00:16:14.649883540,1.7808387593251744,77280
2021-11-17,0 days 00:17:02.996037590,1.8171112506584008,85554
2021-11-18,0 days 00:16:47.636069798,1.8917913474964243,94672
2021-11-19,0 days 00:15:24.441989472,1.7447495392434509,74090
2021-11-20,0 days 00:18:58.981438882,1.8047515728066659,69554
2021-11-21,0 days 00:18:34.609608002,1.8422300227874355,65383
2021-11-22,0 days 00:16:54.882658832,1.7451749997197972,63652
2021-11-23,0 days 00:14:38.691148837,1.6980576166878707,61201
2021-11-24,0 days 00:15:16.336083550,1.6743112165115115,57450
2021-11-25,0 days 00:23:42.767083404,1.7736729437267222,35034
2021-11-26,0 days 00:16:31.278317961,1.6295583149082025,31985
2021-11-27,0 days 00:18:21.932636810,1.639324186187195,37424
2021-11-28,0 days 00:15:41.795151224,1.640110398335067,41660
2021-11-29,0 days 00:14:36.891375983,1.6918501955587142,58569
2021-11-30,0 days 00:13:11.202259622,1.688060369937484,64170
2021-12-01,0 days 00:13:56.516391338,1.7542534303311008,74033
2021-12-02,0 days 00:16:26.425165696,1.8106996586316852,79362
2021-12-03,0 days 00:14:58.640545567,1.7164901049368597,72585
2021-12-04,0 days 00:19:23.105955018,1.8029891297988287,68161
2021-12-05,0 days 00:16:29.926074645,1.807240777118772,62509
2021-12-06,0 days 00:15:08.659954233,1.7779241428865127,67735
2021-12-07,0 days 00:12:56.374213040,1.7220848027366857,67189
2021-12-08,0 days 00:14:17.239206994,1.6935380628214203,65876
2021-12-09,0 days 00:12:56.952654275,1.6875424323817778,66553
2021-12-10,0 days 00:14:18.546201367,1.7311704525877012,75593
2021-12-11,0 days 00:18:54.761846220,1.8163534631492866,64261
2021-12-12,0 days 00:24:21.411631164,1.7814895767317627,62109
2021-12-13,0 days 00:17:02.011215391,1.7264056638475354,68299
2021-12-14,0 days 00:18:24.270438423,1.7442309459321408,75703
2021-12-15,0 days 00:18:09.429571973,1.7502983011360467,73103
2021-12-16,0 days 00:17:40.602069299,1.7892634890274284,80607
2021-12-17,0 days 00:20:14.351957454,1.751645061696854,78035
2021-12-18,0 days 00:19:07.601498241,1.6569162384004312,39513
2021-12-19,0 days 00:20:28.682411312,1.653711314349836,40310
2021-12-20,0 days 00:15:44.207619675,1.6185241836893631,45540
2021-12-21,0 days 00:15:52.069184118,1.6586061841427029,50951
2021-12-22,0 days 00:16:55.094261317,1.6391603992400055,41926
2021-12-23,0 days 00:15:09.421252785,1.5921656151898185,41284
2021-12-24,0 days 00:18:03.713049586,1.5683564637355967,31319
2021-12-25,0 days 00:32:23.432890405,1.6898480937344587,16406
2021-12-26,0 days 00:30:13.628257239,1.7182028202710384,31737
2021-12-27,0 days 00:24:12.865687236,1.600943148166239,31583
2021-12-28,0 days 00:26:54.750368296,1.7501291859661168,40728
2021-12-29,0 days 00:24:10.408059310,1.7114661374643296,39656
2021-12-30,0 days 00:25:07.323985082,1.7507129003591266,46925
2021-12-31,0 days 00:24:54.548299655,1.7677936620512935,48696
2022-01-01,0 days 00:32:11.985163914,1.734370919525121,20895
2022-01-02,0 days 00:38:26.851449111,1.806121016798166,44234
2022-01-03,0 days 00:41:24.060305925,1.5602600195180634,34126
2022-01-04,0 days 00:48:35.336149317,1.5968526015511157,37879
2022-01-05,0 days 00:34:16.477508551,1.6716057851382335,35080
2022-01-06,0 days 00:28:59.861620728,1.6678318657406817,46004
2022-01-07,0 days 00:41:36.727155510,1.5544717331636018,17838
2022-01-08,0 days 00:45:49.628755620,1.5936325343462263,25129
2022-01-09,0 days 00:36:00.615900036,1.5768091465931238,22088
2022-01-10,0 days 00:31:16.477979673,1.5904722490791028,35717
2022-01-11,0 days 00:28:31.065838868,1.4791145099887657,27704
2022-01-12,0 days 00:27:37.363723700,1.644329180377736,41636
2022-01-13,0 days 00:16:43.015212942,1.730546630928625,51798
2022-01-14,0 days 00:17:53.596109913,1.638460636656465,46837
2022-01-15,0 days 00:17:55.471602647,1.3953771541570819,23717
2022-01-16,0 days 00:18:06.217250324,1.4728766324347586,21588
