date,avgTaxiDuration,avgTaxiDistance,totalTaxiTrips
2021-09-05,0 days 00:16:37.196606880,10.556866378867792,74209
2021-09-06,0 days 00:15:12.924113119,8.496704336618697,71712
2021-09-07,0 days 00:16:33.185479232,12.053037889786067,88673
2021-09-08,0 days 00:16:28.146988494,10.924769171072697,102042
2021-09-09,0 days 00:19:27.841622801,6.222676139760152,105817
2021-09-10,0 days 00:19:40.117563494,13.742235347651006,109813
2021-09-11,0 days 00:16:01.078458534,6.800041287328003,107560
2021-09-12,0 days 00:17:32.117044203,8.948479441159208,87232
2021-09-13,0 days 00:17:54.444403823,19.906731256077716,95735
2021-09-14,0 days 00:17:45.746529170,15.003751217507265,102209
2021-09-15,0 days 00:17:11.389992889,12.552105780824071,106884
2021-09-16,0 days 00:15:19.427324900,8.349536646599516,102456
2021-09-17,0 days 00:19:01.935009440,16.685270830244008,110693
2021-09-18,0 days 00:16:36.112830229,6.754171300592662,111362
2021-09-19,0 days 00:17:09.569410458,7.816237961392061,88272
2021-09-20,0 days 00:18:05.200535687,14.430968079676418,92218
2021-09-21,0 days 00:17:18.641596907,12.725329100246325,99868
2021-09-22,0 days 00:17:15.457398679,6.3304101860252935,105877
2021-09-23,0 days 00:19:26.489233841,8.150000473935624,104169
2021-09-24,0 days 00:19:42.032617735,9.035198695961396,109419
2021-09-25,0 days 00:16:59.719066712,15.25866297557733,112977
2021-09-26,0 days 00:16:33.494924469,10.024944261439126,91222
2021-09-27,0 days 00:16:23.080339619,7.016036964529824,93752
2021-09-28,0 days 00:15:52.791096365,10.935173779463208,100970
2021-09-29,0 days 00:16:21.057728394,8.512826477090748,108179
2021-09-30,0 days 00:18:47.824699219,7.997729728851424,114951
2021-10-01,0 days 00:18:59.707317489,19.145811320141462,117062
2021-10-02,0 days 00:16:56.951688302,11.929920962885147,115086
2021-10-03,0 days 00:17:37.329321495,12.64107886597172,91230
2021-10-04,0 days 00:17:07.873743005,8.947595930836895,96858
2021-10-05,0 days 00:16:50.949872477,6.407116667281149,106648
2021-10-06,0 days 00:17:20.419961068,13.079286023958591,113020
2021-10-07,0 days 00:18:57.731536151,9.437022150742266,118556
2021-10-08,0 days 00:18:38.704030205,14.97220295513215,120242
2021-10-09,0 days 00:16:52.085869351,7.773339238215329,116817
2021-10-10,0 days 00:16:10.043335109,6.722201004918488,93850
2021-10-11,0 days 00:16:03.989181724,5.955880070309587,86890
2021-10-12,0 days 00:17:13.209941325,11.001597714672293,108054
2021-10-13,0 days 00:17:15.049794629,10.035758035809907,112723
2021-10-14,0 days 00:18:15.683576009,18.21175835438173,121767
2021-10-15,0 days 00:18:18.538499971,11.805985359310505,124091
2021-10-16,0 days 00:16:32.891377967,10.422158682907629,121955
2021-10-17,0 days 00:16:52.413076694,10.47876753248735,100790
2021-10-18,0 days 00:16:34.696136958,7.589795642585888,103856
2021-10-19,0 days 00:17:14.800652118,10.15572876118718,110716
2021-10-20,0 days 00:17:24.817311487,9.053569582174559,119077
2021-10-21,0 days 00:18:32.844514652,9.39561230793183,122809
2021-10-22,0 days 00:18:21.349338260,11.87994162019079,122858
2021-10-23,0 days 00:17:05.245714237,9.800112999769533,119757
2021-10-24,0 days 00:16:26.399296465,17.533659172760263,98929
2021-10-25,0 days 00:17:01.714114198,12.083102127559053,99949
2021-10-26,0 days 00:15:33.337973416,14.127734625472678,101866
2021-10-27,0 days 00:17:58.714853104,13.144552713618197,119847
2021-10-28,0 days 00:18:52.198054248,12.082156917975908,125607
2021-10-29,0 days 00:18:08.606915663,8.867504424735323,130631
2021-10-30,0 days 00:16:24.964152221,14.782452890392928,119589
2021-10-31,0 days 00:16:26.129215845,13.350661496400457,102263
2021-11-01,0 days 00:17:25.987538267,10.489218861281294,106486
2021-11-02,0 days 00:16:05.973395944,8.12146908037843,115847
2021-11-03,0 days 00:17:40.901852475,6.676936050153894,121837
2021-11-04,0 days 00:18:20.616313703,8.313978113275015,127917
2021-11-05,0 days 00:18:36.901309257,11.812224865338168,129921
2021-11-06,0 days 00:16:50.942606115,8.66678741834018,131460
2021-11-07,0 days 00:21:26.676503025,10.611906603159559,100647
2021-11-08,0 days 00:17:31.145850105,15.61237845534815,106822
2021-11-09,0 days 00:17:31.227975914,16.712034795565287,118745
2021-11-10,0 days 00:18:25.657328794,10.183100661217686,126617
2021-11-11,0 days 00:18:37.730962292,7.013797060476094,123715
2021-11-12,0 days 00:18:05.631958440,10.630116261745176,128010
2021-11-13,0 days 00:17:30.952293855,10.217037362645302,132310
2021-11-14,0 days 00:17:01.439131782,11.413830230374854,109696
2021-11-15,0 days 00:17:04.090693724,12.982707604067413,114815
2021-11-16,0 days 00:17:43.144645476,19.746226680814996,122700
2021-11-17,0 days 00:17:57.748169503,8.62349175248845,126605
2021-11-18,0 days 00:18:27.721181313,11.609413422674075,133377
2021-11-19,0 days 00:18:16.687860802,8.617242762494278,135462
2021-11-20,0 days 00:17:25.696644428,12.762223273875835,131453
2021-11-21,0 days 00:16:50.832828946,19.4613414682217,105078
2021-11-22,0 days 00:17:44.142892708,19.20220304091083,112469
2021-11-23,0 days 00:19:27.726668607,19.67160442779224,120235
2021-11-24,0 days 00:19:01.974992620,17.282452830708063,108408
2021-11-25,0 days 00:15:50.207290362,17.457498529545454,70312
2021-11-26,0 days 00:15:49.790692758,10.816255310919265,89887
2021-11-27,0 days 00:16:35.218305344,9.662630894470121,104505
2021-11-28,0 days 00:18:29.386800747,9.416255061059458,90990
2021-11-29,0 days 00:17:41.366918696,11.995690319863717,107130
2021-11-30,0 days 00:18:12.294924852,7.6870404320476515,119366
2021-12-01,0 days 00:17:55.077074418,14.917290618177496,121986
2021-12-02,0 days 00:18:51.268541046,15.43447693036915,128647
2021-12-03,0 days 00:18:28.984474899,13.547687698730831,136231
2021-12-04,0 days 00:17:35.252892924,9.60185168228745,132392
2021-12-05,0 days 00:17:55.781676911,9.707591891619092,109654
2021-12-06,0 days 00:18:16.877388718,9.42885958619447,112665
2021-12-07,0 days 00:17:25.622136771,13.411787492633971,126649
2021-12-08,0 days 00:18:23.307940028,11.380605086798013,131662
2021-12-09,0 days 00:19:03.101860099,10.761739744284611,134724
2021-12-10,0 days 00:19:06.763769972,9.437279969115412,133497
2021-12-11,0 days 00:17:53.179973435,15.301657900490605,130247
2021-12-12,0 days 00:18:30.507236369,10.024360165640543,107167
2021-12-13,0 days 00:17:12.252526976,6.9033657184161585,111299
2021-12-14,0 days 00:17:19.876025220,13.63494647041541,120218
2021-12-15,0 days 00:17:52.413513210,12.623476193781588,125048
2021-12-16,0 days 00:18:12.475029698,8.180880873257307,126270
2021-12-17,0 days 00:18:15.534914254,6.918353895549631,124147
2021-12-18,0 days 00:16:19.790241115,9.889685656224668,110279
2021-12-19,0 days 00:15:28.614725877,14.510226421405703,91200
2021-12-20,0 days 00:16:36.173447401,16.436356327551398,94213
2021-12-21,0 days 00:16:31.036254068,15.856139342775505,93093
2021-12-22,0 days 00:16:54.379775133,10.928651680277866,91699
2021-12-23,0 days 00:16:36.826613545,13.55308328121571,87850
2021-12-24,0 days 00:14:27.692023729,14.662297543050029,69619
2021-12-25,0 days 00:15:01.690886367,22.441087813404565,40807
2021-12-26,0 days 00:17:47.348176583,11.353012468308199,54705
2021-12-27,0 days 00:15:26.322603259,8.332946642754338,69897
2021-12-28,0 days 00:16:02.080680197,5.992310585191306,75037
2021-12-29,0 days 00:15:57.999986664,5.924669030799184,74989
